Time (s): 0
240	N: 1. 
2	P: 1. 
Time (s): 10
1	P: 2. 
240	N: 1. 
Time (s): 20
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 30
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 40
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 50
1	P: 2. 
240	N: 1. 
Time (s): 60
1	P: 2. 
240	N: 1. 
Time (s): 70
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 80
1	P: 2. 
240	N: 1. 
Time (s): 90
1	P: 2. 
240	N: 1. 
Time (s): 100
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 110
1	P: 2. 
240	N: 1. 
Time (s): 120
1	P: 2. 
240	N: 1. 
Time (s): 130
1	P: 2. 
240	N: 1. 
Time (s): 140
1	P: 2. 
240	N: 1. 
Time (s): 150
1	P: 2. 
240	N: 1. 
Time (s): 160
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 170
1	P: 2. 
240	N: 1. 
Time (s): 180
1	P: 2. 
240	N: 1. 
Time (s): 190
1	P: 2. 
240	N: 1. 
Time (s): 200
1	P: 2. 
240	N: 1. 
Time (s): 210
1	P: 2. 
240	N: 1. 
Time (s): 220
1	P: 2. 
240	N: 1. 
Time (s): 230
1	P: 2. 
240	N: 1. 
Time (s): 240
1	P: 2. 
240	N: 1. 
Time (s): 250
1	P: 2. 
240	N: 1. 
Time (s): 260
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 270
1	P: 2. 
240	N: 1. 
Time (s): 280
1	P: 2. 
240	N: 1. 
Time (s): 290
1	P: 2. 
240	N: 1. 
Time (s): 300
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 310
1	P: 2. 
240	N: 1. 
Time (s): 320
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 330
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 340
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 350
1	P: 2. 
240	N: 1. 
Time (s): 360
1	P: 2. 
240	N: 1. 
Time (s): 370
1	P: 2. 
240	N: 1. 
Time (s): 380
1	P: 2. 
240	N: 1. 
Time (s): 390
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 400
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 410
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 420
1	P: 2. 
240	N: 1. 
Time (s): 430
1	P: 2. 
240	N: 1. 
Time (s): 440
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 450
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 460
1	P: 2. 
240	N: 1. 
Time (s): 470
1	P: 2. 
240	N: 1. 
Time (s): 480
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 490
1	P: 2. 
240	N: 1. 
Time (s): 500
1	P: 2. 
240	N: 1. 
Time (s): 510
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 520
1	P: 2. 
240	N: 1. 
Time (s): 530
1	P: 2. 
240	N: 1. 
Time (s): 540
1	P: 2. 
240	N: 1. 
Time (s): 550
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 560
1	P: 2. 
240	N: 1. 
Time (s): 570
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 580
1	P: 2. 
240	N: 1. 
Time (s): 590
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 600
1	P: 2. 
240	N: 1. 
Time (s): 610
1	P: 2. 
240	N: 1. 
