Time (s): 0
240	N: 1. 
2	P: 1. 
Time (s): 10
1	P: 1. N: 1. 
1	P: 1. 
239	N: 1. 
Time (s): 20
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 30
2	P: 1. 
240	N: 1. 
Time (s): 40
2	P: 1. 
240	N: 1. 
Time (s): 50
2	P: 1. 
240	N: 1. 
Time (s): 60
2	P: 1. 
240	N: 1. 
Time (s): 70
2	P: 1. 
240	N: 1. 
Time (s): 80
2	P: 1. 
240	N: 1. 
Time (s): 90
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 100
2	P: 1. 
240	N: 1. 
Time (s): 110
2	P: 1. 
240	N: 1. 
Time (s): 120
2	P: 1. 
240	N: 1. 
Time (s): 130
2	P: 1. 
240	N: 1. 
Time (s): 140
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 150
2	P: 1. 
240	N: 1. 
Time (s): 160
2	P: 1. 
240	N: 1. 
Time (s): 170
2	P: 1. 
240	N: 1. 
Time (s): 180
2	P: 1. 
240	N: 1. 
Time (s): 190
2	P: 1. 
240	N: 1. 
Time (s): 200
2	P: 1. 
240	N: 1. 
Time (s): 210
2	P: 1. 
240	N: 1. 
Time (s): 220
2	P: 1. 
240	N: 1. 
Time (s): 230
2	P: 1. 
240	N: 1. 
Time (s): 240
2	P: 1. 
240	N: 1. 
Time (s): 250
2	P: 1. 
240	N: 1. 
Time (s): 260
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 270
2	P: 1. 
240	N: 1. 
Time (s): 280
2	P: 1. 
240	N: 1. 
Time (s): 290
2	P: 1. 
240	N: 1. 
Time (s): 300
2	P: 1. 
240	N: 1. 
Time (s): 310
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 320
2	P: 1. 
240	N: 1. 
Time (s): 330
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 340
239	N: 1. 
1	P: 1. 
1	P: 1. N: 1. 
Time (s): 350
2	P: 1. 
240	N: 1. 
