Time (s): 0
600	N: 1. 
20	P: 1. 
Time (s): 1
600	N: 1. 
20	P: 1. 
Time (s): 2
600	N: 1. 
20	P: 1. 
Time (s): 3
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 4
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 5
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 6
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 7
600	N: 1. 
20	P: 1. 
Time (s): 8
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 9
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 10
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 11
600	N: 1. 
20	P: 1. 
Time (s): 12
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 13
600	N: 1. 
20	P: 1. 
Time (s): 14
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 15
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 16
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 17
600	N: 1. 
20	P: 1. 
Time (s): 18
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 19
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 20
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 21
600	N: 1. 
20	P: 1. 
Time (s): 22
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 23
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 24
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 25
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 26
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 27
600	N: 1. 
20	P: 1. 
Time (s): 28
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 29
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 30
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 31
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 32
600	N: 1. 
20	P: 1. 
Time (s): 33
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 34
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 35
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 36
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 37
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 38
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 39
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 40
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 41
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 42
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 43
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 44
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 45
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 46
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 47
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 48
5	P: 1. N: 1. 
15	P: 1. 
595	N: 1. 
Time (s): 49
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 50
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 51
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 52
4	P: 1. N: 1. 
16	P: 1. 
596	N: 1. 
Time (s): 53
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 54
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
