Time (s): 1e-06
10	P: 2. N: 2. 
580	N: 1. 
Time (s): 1
2	P: 2. 
3	P: 2. N: 1. 
3	P: 1. 
1	P: 1. N: 1. 
3	P: 2. N: 2. 
590	N: 1. 
Time (s): 2
2	P: 2. N: 1. 
3	P: 2. 
4	P: 1. 
2	P: 1. N: 1. 
2	P: 2. N: 2. 
592	N: 1. 
Time (s): 3
1	P: 2. N: 1. 
1	P: 2. 
11	P: 1. 
1	P: 2. N: 2. 
3	P: 1. N: 1. 
594	N: 1. 
Time (s): 4
18	P: 1. 
1	P: 2. N: 1. 
599	N: 1. 
Time (s): 5
1	P: 2. 
16	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 6
16	P: 1. 
4	P: 1. N: 1. 
596	N: 1. 
Time (s): 7
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 8
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 9
17	P: 1. 
3	P: 1. N: 1. 
597	N: 1. 
Time (s): 10
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
