Time (s): 1e-06
10	P: 2. N: 2. 
580	N: 1. 
Time (s): 1
6	P: 1. 
1	P: 2. 
4	P: 2. N: 2. 
4	P: 1. N: 1. 
588	N: 1. 
Time (s): 2
2	P: 2. 
10	P: 1. 
4	P: 1. N: 1. 
1	P: 2. N: 2. 
594	N: 1. 
Time (s): 3
2	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
598	N: 1. 
Time (s): 4
2	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
598	N: 1. 
Time (s): 5
1	P: 2. 
17	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 6
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 7
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 8
17	P: 1. 
3	P: 1. N: 1. 
597	N: 1. 
Time (s): 9
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
