chromosome,start,end,summit,peakName,untreated_GAF_intensity,RNAi_GAF_intensity,replicate_overlap,ChIPchip_overlap,number_GAGA_Jaspar,Jaspar_strand,Jaspar_hcGAF,location,total_GROseq_reads
chr2L,5291,5691,5625,MACS_peak_1-1,391.338079,267.549456,replicate 1,no,1,+,no,intergenic,11.80249585
chr2L,5701,6210,5865,MACS_peak_1-2,963.969106,805.263112,replicate 1,yes,1,+,yes,intergenic,9.162462696
chr2L,46791,47031,46940,MACS_peak_2-1,237.465306,243.849471,replicate 1,yes,0,no element,no,genic,1.8142519
chr2L,47041,47670,47350,MACS_peak_2-2,1376.37625,978.519616,replicate 1,yes,0,no element,no,genic,11.98737855
chr2L,66111,66141,66115,MACS_peak_3-1,38.2828191,53.1435832,replicate 1,yes,0,no element,no,intergenic,2.72137785
chr2L,66151,66651,66515,MACS_peak_3-2,1912.15675,948.565825,both replicates,yes,0,no element,no,intergenic,5.881530851
chr2L,66661,67161,66945,MACS_peak_3-3,13661.8308,7807.50089,both replicates,yes,1,+,yes,promoter,112.8336639
chr2L,67171,67860,67315,MACS_peak_3-4,9843.24571,4843.13081,both replicates,yes,1,-,yes,genic,44.79426703
chr2L,71601,71971,71905,MACS_peak_4-1,265.823237,171.715587,replicate 1,yes,0,no element,no,promoter,69.38282338
chr2L,71981,72901,72525,MACS_peak_4-2,7530.37134,3311.26802,both replicates,yes,2,+,yes,genic,56.02982624
chr2L,72911,73331,73140,MACS_peak_4-3,921.032515,545.526871,replicate 1,yes,0,no element,no,promoter & genic,47.82378267
chr2L,73341,74291,73795,MACS_peak_4-4,2608.46361,1791.0602,both replicates,yes,0,no element,no,genic,40.79109178
chr2L,74301,74450,74390,MACS_peak_4-5,37.3873478,101.162358,replicate 1,yes,0,no element,no,promoter & genic,50.73742543
chr2L,107481,107561,107500,MACS_peak_5-1,106.669743,161.846842,replicate 1,yes,0,no element,no,promoter & genic,7.032690749
chr2L,107571,108431,108065,MACS_peak_5-2,18690.9358,11563.3736,both replicates,yes,2,+,yes,promoter & genic,296.0189032
chr2L,108441,108861,108585,MACS_peak_5-3,871.020546,443.627234,replicate 1,yes,1,-,yes,genic,79.90595144
chr2L,108871,109700,109305,MACS_peak_5-4,2494.95219,1115.01874,both replicates,yes,0,no element,no,promoter & genic,51.76780637
chr2L,120141,120221,120145,MACS_peak_6-1,85.592036,252.548097,replicate 1,no,0,no element,no,genic,82.72100852
chr2L,120231,120981,120665,MACS_peak_6-2,2010.57606,1481.3368,both replicates,no,1,+,no,promoter & genic,174.3555377
chr2L,120991,121140,121135,MACS_peak_6-3,26.851434,66.3505789,replicate 1,no,0,no element,no,genic,48.14916135
chr2L,127851,128121,127975,MACS_peak_7-1,201.672987,217.212804,replicate 1,yes,0,no element,no,genic,30.36407275
chr2L,128131,128991,128735,MACS_peak_7-2,4747.8254,2006.57712,both replicates,yes,2,+,yes,genic,30.4059834
chr2L,129001,129741,129315,MACS_peak_7-3,17537.0033,10589.924,both replicates,yes,1,-,yes,promoter & genic,240.5042914
chr2L,129751,130140,129945,MACS_peak_7-4,601.168746,249.863455,replicate 1,yes,0,no element,no,genic,1.28427355
chr2L,131311,131361,131330,MACS_peak_8-1,56.0337435,60.657879,replicate 1,yes,0,no element,no,intergenic,2.79286395
